Titolo,URL progetto,URL progetto risolve?,URL sito vetrina,URL sito vetrina risolve?,URL Anticamera,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen,URL progetto Status_Code,URL progetto Last_URL_Snapshot,URL sito vetrina First_Seen,URL sito vetrina Last_Seen,URL sito vetrina Status_Code,URL sito vetrina Last_URL_Snapshot
Arts 01,https://digilab.uniroma1.it/ricerca/progetti-conclusi/arts-0-1,FALSE,,FALSE,,FALSE,Italian DH Institutions,,TRUE,,,,404,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
ASIt: Atlante Sintattico d’Italia,http://svrims2.dei.unipd.it:8080/asit-maldura/pages/search.jsp,TRUE,http://asit.maldura.unipd.it/,TRUE,,FALSE,AIUCD,,TRUE,,2013-12-16 00:21:39,2024-02-28 19:17:19,200,https://web.archive.org/web/20240228191719/http://svrims2.dei.unipd.it:8080/asit-maldura/pages/search.jsp,2011-05-01 22:38:39,2025-01-04 05:10:13,200,https://web.archive.org/web/20250104051013/http://asit.maldura.unipd.it/19GdD_Locandina.pdf
Atlante Lessicale Toscano,http://serverdbt.ilc.cnr.it/ALTWEB,TRUE,,,,,KNOT,http://purl.org/knot/data/alt-project,FALSE,,2007-07-27 12:07:23,2024-12-08 04:37:19,200,https://web.archive.org/web/20241208043719/http://serverdbt.ilc.cnr.it/altweb/RT_ALT-WEB_file/ico_help_2new.gif,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Atlante Storia MArittima della SArdegna,https://storia.dh.unica.it/asmsa/it,TRUE,,,,,KNOT,http://purl.org/knot/data/asmsa-project,FALSE,,2024-02-21 03:58:11,2024-09-12 00:15:19,200,https://web.archive.org/web/20240912001519/https://storia.dh.unica.it/asmsa/it/esplora-latlante/norme-e-istituzioni,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Atlas,https://dh-atlas.github.io/deliverables.html,FALSE,,FALSE,,FALSE,Italian DH Institutions,,TRUE,,,,200,,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Belle Greene,https://bellegreene.itatti.harvard.edu/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,TRUE,è un tool ma espone anche due demo edizioni digitali. rientra,2023-08-20 23:24:18,2024-12-23 12:15:40,200,https://web.archive.org/web/20241223121540/https://bellegreene.itatti.harvard.edu/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Bellini corrispondenza,http://bellinicorrespondence.cnr.it/,TRUE,,FALSE,,FALSE,AIUCD,,FALSE,,2022-01-20 21:32:38,2024-08-11 21:33:19,200,https://web.archive.org/web/20240811213319/http://bellinicorrespondence.cnr.it/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
BelliniInRete,,FALSE,http://bellininrete.istc.cnr.it/,TRUE,,FALSE,AIUCD,,FALSE,impossibile raggiungere il sito,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,,2024-04-29 08:55:41,2024-08-11 16:12:43,200,https://web.archive.org/web/20240811161243/https://bellininrete.istc.cnr.it/simboli/
Biblioteca Informatica dei Libri di Famiglia,https://bilf.ipertesti.it/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2022-09-30 20:26:19,2024-12-03 23:07:47,200,https://web.archive.org/web/20241203230747/https://bilf.ipertesti.it/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Biblioteca Italiana,http://www.bibliotecaitaliana.it/,TRUE,,,,,KNOT,http://purl.org/knot/data/bib-ita-project,FALSE,,2002-02-03 09:34:32,2025-01-05 01:15:54,200,https://web.archive.org/web/20250105011554/http://www.bibliotecaitaliana.it/ScrittoriItalia/catalogo/browse/autore-autore.xq?autore=Parini,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Biflow: catalogo bilingue,https://catalogobiflow.vedph.it/,TRUE,,FALSE,,FALSE,Italian DH Institutions,,FALSE,,2021-06-29 08:01:26,2025-01-04 02:12:38,200,https://web.archive.org/web/20250104021238/http://catalogobiflow.vedph.it/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Bradypus,https://bdus.cloud/,TRUE,,,,,KNOT,http://purl.org/knot/data/bradypus-project,TRUE,impossibile raggiungere il sito,2021-02-27 11:46:02,2024-12-08 06:44:57,200,https://web.archive.org/web/20241208064457/https://bdus.cloud/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Carlo Goldoni,https://www.carlogoldoni.it/public/,TRUE,,,,,KNOT,http://purl.org/knot/data/goldoni-drammi-project,FALSE,è un sito vetrina,2016-05-27 06:14:33,2024-12-29 01:45:22,200,https://web.archive.org/web/20241229014522/http://www.carlogoldoni.it/public/testo/testo/codice/cantarin-A,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Carte d'autore online,https://www.cartedautore.it/,TRUE,,,,,KNOT,http://purl.org/knot/data/carte-autore-project,FALSE,,2014-08-10 16:44:11,2024-12-07 23:19:34,200,https://web.archive.org/web/20241207231934/https://www.cartedautore.it/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
Carteggio Ricci digital library,http://carteggiodiguerra.cnr.it/,TRUE,,,,,KNOT,http://purl.org/knot/data/carteggio-ricci-project,FALSE,,2022-03-16 09:18:54,2024-06-14 22:58:34,200,https://web.archive.org/web/20240614225834/http://carteggiodiguerra.cnr.it/,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
"CASPAR: Cultural, Artistic and Scientific Knowledge for Preservation, Access and Retrieval","https://www.casparpreserves.eu/caspar-project.html#:~:text=CASPAR%20%2D%20Cultural%2C%20Artistic%20and%20Scientific,cultural%20and%20scientific%20resources%22).",TRUE,,FALSE,,FALSE,IRCDL,,FALSE,alcune visualizzazioni non sono accessibili tipo % 100 toponimi più frequenti,2011-01-30 05:51:19,2024-07-21 06:33:53,200,https://web.archive.org/web/20240721063353/http://www.casparpreserves.eu/caspar-project.html14,NOTPROVIDED,NOTPROVIDED,NOTPROVIDED,
