Titolo,URL progetto,URL progetto risolve?,URL sito vetrina ,URL sito vetrina risolve?,URL Anticamera ,URL Anticamera risolve?,Provenance,KNOT URI,Parzialmente Inacessibile,NOTE,URL progetto First_Seen,URL progetto Last_Seen
Galassia Ariosto,http://galassiaariosto.sns.it/,False,,False,,False,DH Awards,,False,,2017-09-30 16:52:43,2024-03-07 20:24:54
NumET,https://nuovomedioevo.it/numet-2/,False,,False,,False,DH Awards,,False, è un tool ma espone anche due demo edizioni digitali. rientra,2018-03-30 09:25:10,2021-10-22 16:05:12
I conti con la Storia: Le leggi razziali tra televisione e storiografia,http://www.iconticonlastoria.it,True,,False,,False,DH Awards,,False,"è stato internalizzato, forse, dal 2020 e ci si può accedere con VPN (forse)",2021-01-08 14:32:52,2024-11-25 04:46:28
Storia dei Carabinieri,https://www.spreaker.com/show/storia-dei-carabinieri,True,,False,,False,DH Awards,,True,risolve ma poi dice 404,2020-11-01 01:10:00,2023-10-05 08:35:21
Navigli Project,http://arcg.is/0vfWKj,True,,False,,False,DH Awards,,False,traslocato a https://www.unive.it/pag/44465/,2020-10-08 06:34:02,2024-07-09 08:39:23
artchives - the inventory of art historians’ archives,http://artchives.fondazionezeri.unibo.it/,True,,False,,False,Italian DH Institutions,,False,,2020-11-28 13:54:26,2024-09-24 00:17:01
musow,http://projects.dharc.unibo.it/musow/,True,,False,,False,Italian DH Institutions,,True,explore page not working,2021-11-17 13:32:50,2024-12-16 16:48:30
dhdkey!,https://projects.dharc.unibo.it/dhdkey/,True,,False,,False,Italian DH Institutions,,False,,2021-04-30 23:09:42,2023-06-05 12:37:57
digital library (ficlit),https://dl.ficlit.unibo.it,True,,False,,False,Italian DH Institutions,,False,,2022-06-19 03:17:07,2024-12-18 14:06:29
arco,http://wit.istc.cnr.it/arco/index.php?lang=en,True,,False,,False,Italian DH Institutions,,False,,2019-07-26 10:04:19,2024-05-24 15:36:07
edizione nazionale delle opere di aldo moro,https://aldomorodigitale.unibo.it/,True,,False,,False,Italian DH Institutions,,False,,2021-05-25 07:08:38,2024-12-13 05:35:49
framester,https://framester.github.io/,True,http://etna.istc.cnr.it/framester_web/,True,,False,Italian DH Institutions,,False,,2024-04-17 22:31:51,2024-07-14 20:00:00
catalogue,https://projects.dharc.unibo.it/knot/,True,,False,,False,Italian DH Institutions,,False,,2024-12-13 04:18:48,2024-12-13 04:18:48
leggo manzoni,https://projects.dharc.unibo.it/leggomanzoni/,True,,False,,False,Italian DH Institutions,,False,,2024-04-04 06:10:56,2024-08-06 10:10:15
mythlod,https://dharc-org.github.io/mythlod/,True,,False,,False,Italian DH Institutions,,False,,2021-11-22 20:11:10,2024-12-15 08:28:31
